                                                                                               occupation  A0  A1  A2  A3  A4  total
                                                                        Structural Iron and Steel Workers  15   0   0   2   1     18
                                                           Equal Opportunity Representatives and Officers   0   0   2  16   0     18
                                                                                                 Baristas   1   5   4   5   3     18
                                                                                   Insurance Sales Agents   1   0   6   9   2     18
                                                                                  Tour Guides and Escorts   4   3   7   3   1     18
                                                                  Energy Engineers, Except Wind and Solar   0   0   1  15   2     18
                                                                                       Pediatric Surgeons   4   0   2  12   0     18
                                                                                    Postal Service Clerks   0   4   7   6   1     18
                                                                                      Judicial Law Clerks   2   0   2  14   0     18
                                                            Camera Operators, Television, Video, and Film   2   0   8   5   3     18
                                                                                                   Tutors   0   0   9   1   8     18
                                                                                           Fence Erectors  12   4   1   1   0     18
