occupation,AGI-specific,NOT AGI-specific
Crane and Tower Operators,5,6
Watch and Clock Repairers,9,6
"Cutting and Slicing Machine Setters, Operators, and Tenders",19,6
Biofuels Processing Technicians,13,6
Crematory Operators,6,6
"Patternmakers, Wood",14,6
"Patternmakers, Metal and Plastic",9,6
"Paper Goods Machine Setters, Operators, and Tenders",8,6
Veterinarians,15,6
Orthotists and Prosthetists,9,6
Security Management Specialists,17,6
Fiberglass Laminators and Fabricators,10,6
Fire Inspectors and Investigators,24,6
Animal Control Workers,10,6
Search Marketing Strategists,30,6
"Sawing Machine Setters, Operators, and Tenders, Wood",16,6
Semiconductor Processing Technicians,14,6
Emergency Medical Technicians,6,6
"Roof Bolters, Mining",8,6
"Rock Splitters, Quarry",3,6
Shuttle Drivers and Chauffeurs,20,6
Electrical and Electronic Engineering Technologists and Technicians,24,6
Anesthesiologist Assistants,10,6
Reinforcing Iron and Rebar Workers,1,6
Concierges,12,6
Refuse and Recyclable Material Collectors,8,6
"Excavating and Loading Machine and Dragline Operators, Surface Mining",10,6
Petroleum Engineers,17,6
"Rail Yard Engineers, Dinkey Operators, and Hostlers",17,6
"Substitute Teachers, Short-Term",12,6
"Pump Operators, Except Wellhead Pumpers",8,6
Supply Chain Managers,24,6
Automotive Engineering Technicians,12,6
Dermatologists,12,6
Fabric and Apparel Patternmakers,10,6
Farm Equipment Mechanics and Service Technicians,8,6
Power Distributors and Dispatchers,8,6
Agricultural Technicians,20,6
Textile Bleaching and Dyeing Machine Operators and Tenders,17,6
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",13,6
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",27,6
Bicycle Repairers,8,6
Community Health Workers,22,6
Audiovisual Equipment Installers and Repairers,5,6
Emergency Medicine Physicians,11,6
Craft Artists,10,6
Gas Compressor and Gas Pumping Station Operators,7,6
Nanotechnology Engineering Technologists and Technicians,19,6
Broadcast Announcers and Radio Disc Jockeys,18,6
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",15,6
Hoist and Winch Operators,7,6
"Grinding and Polishing Workers, Hand",11,6
"Captains, Mates, and Pilots of Water Vessels",24,6
"Morticians, Undertakers, and Funeral Arrangers",16,6
Foundry Mold and Coremakers,7,6
Mechatronics Engineers,17,6
"Mixing and Blending Machine Setters, Operators, and Tenders",14,6
Medical Equipment Preparers,9,6
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",14,6
"Glass Blowers, Molders, Benders, and Finishers",10,6
Cartographers and Photogrammetrists,8,6
Gambling and Sports Book Writers and Runners,12,6
